product_code,description,batch_code
783342-0100,BOSE SOUNDLINK MICRO BT SPEAKER BLK/BLK,
783342-0100,BOSE SOUNDLINK MICRO BT SPEAKER BLK/BLK,0057124004120
,BOSE SOUNDLINK MICRO BT SPEAKER BLK/BLK,151242992
796145-5110,BOSE BASS MODULE 500,
796145-5110,BOSE BASS MODULE 500,0057124004106
,BOSE BASS MODULE 500,5211829259
809108-5110,BOSE BASS MODULE 700 - BLACK,
809108-5110,BOSE BASS MODULE 700 - BLACK,0057124004107
,BOSE BASS MODULE 700 - BLACK,5211829247
809108-5210,BOSE BASS MODULE 700 - WHITE,
809108-5210,BOSE BASS MODULE 700 - WHITE,0057124004108
809281-5210,BOSE SURROUND SPEAKERS - WHITE,
809281-5210,BOSE SURROUND SPEAKERS - WHITE,0057124004123
829393-5110,BOSE PORTABLE HOME SPEAKER TRIPLE BLACK,
829393-5110,BOSE PORTABLE HOME SPEAKER TRIPLE BLACK,0057124004110
829393-5310,BOSE PORTABLE HOME SPEAKER LUXE SILVER,
829393-5310,BOSE PORTABLE HOME SPEAKER LUXE SILVER,0057124004109
,BOSE PORTABLE HOME SPEAKER LUXE SILVER,15124291
838309-5110,BOSE TV SPEAKER,
838309-5110,BOSE TV SPEAKER,0057124004124
,BOSE TV SPEAKER,151202305
858366-5130,SOUNDLINK REVOLVE+II BT SPEAKER TRIP BLK,
858366-5130,SOUNDLINK REVOLVE+II BT SPEAKER TRIP BLK,0057124004222
,SOUNDLINK REVOLVE+II BT SPEAKER TRIP BLK,151242993
858366-5330,SOUNDLINK REVOLVE+ II BT SPEAKER LUX SLV,
858366-5330,SOUNDLINK REVOLVE+ II BT SPEAKER LUX SLV,0057124004221
869583-5100,BOSE S1 PRO+ WIRELESS PA SYSTEM,
869583-5100,BOSE S1 PRO+ WIRELESS PA SYSTEM,0057124004111
882963-5110,BOSE SMART ULTRA SOUNDBAR BLACK,
882963-5110,BOSE SMART ULTRA SOUNDBAR BLACK,0057124004114
,BOSE SMART ULTRA SOUNDBAR BLACK,9923284
